7zip 26.01-1.1
accountsservice 26.26.9-1.1
alsa-firmware 1.2.4-4
alsa-plugins 1:1.2.12-5.1
alsa-utils 1.2.16-1.1
anki 26.05-1.1
base 3-3
base-devel 1-2
bat 0.26.1-2.1
bind 9.20.24-1.1
bluetui 0.8.1-2.1
bluez 5.86-6.1
bluez-hid2hci 5.86-6.1
bluez-libs 5.86-6.1
bluez-utils 5.86-6.1
bpftune-git r764.4712347-1
bridge-utils 1.7.1-5
brightnessctl 0.5.1-3
btop 1.4.7-1.1
btrfs-assistant 2.2-5.1
btrfs-progs 7.0-1
cachyos-hello 0.25.0-1
cachyos-hooks 2026.02.05-1
cachyos-kernel-manager 1.19.0-1
cachyos-keyring 20240331-1
cachyos-mirrorlist 27-1
cachyos-packageinstaller 1.6.2-1
cachyos-plymouth-bootanimation 2-3
cachyos-rate-mirrors 23-3
cachyos-samba-settings 20250314-1
cachyos-settings 1:1.3.5-1
cachyos-snapper-support 1.0.2-1
cachyos-v3-mirrorlist 27-1
cachyos-v4-mirrorlist 27-1
calf 0.90.9-2.1
cantarell-fonts 1:0.311-1
ccache 4.13.6-1.1
chromium-widevine 1:4.10.2934.0-1
chwd 1.21.1-1
cliphist 1:0.7.0-2.1
cloudflare-warp-bin 2026.4.1390-1
cpupower 7.1.1-1
cronie 1.7.2-2.1
cryptsetup 2.8.6-1.1
cups 2:2.4.19-1
cups-filters 2.0.1-2.1
cups-pdf 3.0.3-1.1
device-mapper 2.03.41-1.1
dhclient 4.4.3.P1-4.1
diffutils 3.12-2.1
dim-screen 0.4.1-1
dmemcg-booster 0.1.2-1
dmidecode 3.7-1.4
dmraid 1.0.0.rc16.3-15.1
dnsmasq 2.93-1.1
docker 1:29.6.0-1.1
docker-buildx 0.35.0-1.1
docker-compose-bin 5.1.1-1
dosfstools 4.2-5.1
dua-cli 2.37.0-1.1
duf 0.9.1-1.1
e2fsprogs 1.47.4-1.1
easyeffects 8.2.4-1.1
efibootmgr 18-4.1
efitools 1.9.2-7.1
egl-wayland 4:1.1.21-1.1
ethtool 1:7.0-1.1
etterna 0.74.4-1
ex-vi-compat 2-1
exfatprogs 1.4.2-1.1
expac 10-12.2
eza 0.23.4-3.1
f2fs-tools 1.16.0-3.1
fastfetch 2.65.1-1.1
fcitx5 5.1.21-1.1
fcitx5-configtool 5.1.14-1.1
fcitx5-mozc 3.34.6239.2-1
ffmpegthumbnailer 2.3.0-1.1
firebase-tools-bin 15.22.1-1
fnott 1.8.0-1.1
foomatic-db 3:20260209-1
foomatic-db-engine 5:20200131-2.1
foomatic-db-gutenprint-ppds 5.3.5-1.1
foomatic-db-nonfree 3:20260209-1
foomatic-db-nonfree-ppds 3:20260209-1
foomatic-db-ppds 3:20260209-1
foot 1.27.0-1.1
fsarchiver 0.8.9-1.1
fuse2 2.9.9-5
fuzzel 1.14.1-1
fzf 0.72.0-1.1
ghostscript 10.07.1-1.1
git 2.54.0-1.1
git-delta 0.19.2-2.1
git-lfs 3.7.1-1.1
github-cli 2.95.0-1.1
grepai-bin 0.35.0-1
grim 1.5.0-2.1
gsfonts 20200910-6
gst-libav 1.28.4-2
gst-plugin-pipewire 1:1.6.7-1.1
gst-plugin-va 1.28.4-2
gst-plugins-bad 1.28.4-2
gst-plugins-ugly 1.28.4-2
gthumb 3.12.10-3.1
gutenprint 5.3.5-1.1
gvfs 1.60.1-1
gvfs-mtp 1.60.1-1
gvfs-smb 1.60.1-1
haveged 1.9.26-1.1
hdparm 9.65-3.1
helium-browser-bin 0.13.6.1-1
hplip 1:3.26.4-1.1
hwdetect 2025.08.16.1333-1
hwinfo 25.4-1.1
impala 0.7.4-1.1
inetutils 2.8-1.1
intel-media-driver 26.1.5-1.1
intel-ucode 20260512-1
iptables 1:1.8.13-1.1
iwd 3.12-1.1
jdownloader2 latest-22
